chr16	91566000	91567999	0
chr16	91568000	91569999	1
chr16	91570000	91571999	2
chr16	91572000	91573999	3
chr16	91574000	91575999	4
chr16	91576000	91577999	5
chr16	91578000	91579999	6
chr16	91580000	91581999	7
chr16	91582000	91583999	8
chr16	91584000	91585999	9
chr16	91586000	91587999	10
chr16	91588000	91589999	11
chr16	91590000	91591999	12
chr16	91592000	91593999	13
chr16	91594000	91595999	14
chr16	91596000	91597999	15
chr16	91598000	91599999	16
chr16	91600000	91601999	17
chr16	91602000	91603999	18
chr16	91604000	91605999	19
chr16	91606000	91607999	20
chr16	91608000	91609999	21
chr16	91610000	91611999	22
chr16	91612000	91613999	23
chr16	91614000	91615999	24
chr16	91616000	91617999	25
chr16	91618000	91619999	26
chr16	91620000	91621999	27
chr16	91622000	91623999	28
chr16	91624000	91625999	29
chr16	91626000	91627999	30
chr16	91628000	91629999	31
chr16	91630000	91631999	32
chr16	91632000	91633999	33
chr16	91634000	91635999	34
chr16	91636000	91637999	35
chr16	91638000	91639999	36
chr16	91640000	91641999	37
chr16	91642000	91643999	38
chr16	91644000	91645999	39
chr16	91646000	91647999	40
chr16	91648000	91649999	41
chr16	91650000	91651999	42
chr16	91652000	91653999	43
chr16	91654000	91655999	44
chr16	91656000	91657999	45
chr16	91658000	91659999	46
chr16	91660000	91661999	47
chr16	91662000	91663999	48
chr16	91664000	91665999	49
chr16	91666000	91667999	50
chr16	91668000	91669999	51
chr16	91670000	91671999	52
chr16	91672000	91673999	53
chr16	91674000	91675999	54
chr16	91676000	91677999	55
chr16	91678000	91679999	56
chr16	91680000	91681999	57
chr16	91682000	91683999	58
chr16	91684000	91685999	59
chr16	91686000	91687999	60
chr16	91688000	91689999	61
chr16	91690000	91691999	62
chr16	91692000	91693999	63
chr16	91694000	91695999	64
chr16	91696000	91697999	65
chr16	91698000	91699999	66
chr16	91700000	91701999	67
chr16	91702000	91703999	68
chr16	91704000	91705999	69
chr16	91706000	91707999	70
chr16	91708000	91709999	71
chr16	91710000	91711999	72
chr16	91712000	91713999	73
chr16	91714000	91715999	74
chr16	91716000	91717999	75
chr16	91718000	91719999	76
