chr16	92394175	92394194	-
chr16	92421898	92421917	+
chr16	92445841	92445860	+
chr16	92453047	92453066	-
chr16	92458088	92458107	+
chr16	92478925	92478944	+
chr16	92487984	92488003	+
chr16	92497328	92497347	-
chr16	92512162	92512181	-
chr16	92520256	92520275	-
chr16	92544695	92544714	-
chr16	92566114	92566133	-
chr16	92608548	92608567	-
chr16	92615864	92615883	-
chr16	92699058	92699077	-
chr16	92709080	92709099	-
chr16	92800366	92800385	-
chr16	92801870	92801889	-
chr16	92814789	92814808	-
chr16	92828396	92828415	-
chr16	92868334	92868353	-
chr16	92988432	92988451	+
chr16	93010008	93010027	-
chr16	93011914	93011933	-
chr16	93106412	93106431	-
chr16	93107877	93107896	+
chr16	93137670	93137689	+
chr16	93158931	93158950	-
chr16	93159276	93159295	+
chr16	93293453	93293472	+
chr16	93294873	93294892	-
chr16	93310288	93310307	+
chr16	93410760	93410779	+
chr16	93454682	93454701	+
chr16	93511962	93511981	-
chr16	93532380	93532399	-
chr16	93544171	93544190	+
chr16	93577148	93577167	+
chr16	93615929	93615948	-
chr16	93627178	93627197	+
