chr16	91512824	91512843	-
chr16	91561505	91561524	+
chr16	91582749	91582768	+
chr16	91585552	91585571	-
chr16	91599665	91599684	+
chr16	91680378	91680397	-
chr16	91695125	91695144	-
chr16	91705003	91705022	-
chr16	91716564	91716583	-
chr16	91724685	91724704	-
chr16	91758209	91758228	-
chr16	91871609	91871628	+
chr16	91884612	91884631	-
chr16	91886267	91886286	+
chr16	91897959	91897978	-
chr16	91918233	91918252	+
chr16	91932406	91932425	-
chr16	91935580	91935599	+
chr16	91936167	91936186	+
chr16	91936760	91936779	-
chr16	91955203	91955222	-
chr16	91960971	91960990	+
chr16	91965008	91965027	+
chr16	91994665	91994684	-
chr16	92064854	92064873	+
chr16	92104492	92104511	+
chr16	92113246	92113265	+
chr16	92136726	92136745	+
chr16	92160930	92160949	+
chr16	92170691	92170710	-
chr16	92287035	92287054	+
chr16	92305965	92305984	-
chr16	92308389	92308408	+
chr16	92314663	92314682	-
chr16	92315209	92315228	-
chr16	92320142	92320161	+
chr16	92336988	92337007	+
chr16	92341375	92341394	-
chr16	92385485	92385504	-
chr16	92394175	92394194	-
chr16	92421898	92421917	+
chr16	92445841	92445860	+
chr16	92453047	92453066	-
chr16	92458088	92458107	+
chr16	92478925	92478944	+
chr16	92487984	92488003	+
chr16	92497328	92497347	-
chr16	92512162	92512181	-
chr16	92520256	92520275	-
chr16	92544695	92544714	-
chr16	92566114	92566133	-
chr16	92608548	92608567	-
chr16	92615864	92615883	-
chr16	92699058	92699077	-
chr16	92709080	92709099	-
chr16	92800366	92800385	-
chr16	92801870	92801889	-
chr16	92814789	92814808	-
chr16	92828396	92828415	-
chr16	92868334	92868353	-
chr16	92988432	92988451	+
chr16	93010008	93010027	-
chr16	93011914	93011933	-
chr16	93106412	93106431	-
chr16	93107877	93107896	+
chr16	93137670	93137689	+
chr16	93158931	93158950	-
chr16	93159276	93159295	+
chr16	93293453	93293472	+
chr16	93294873	93294892	-
chr16	93310288	93310307	+
chr16	93410760	93410779	+
chr16	93454682	93454701	+
chr16	93511962	93511981	-
chr16	93532380	93532399	-
chr16	93544171	93544190	+
chr16	93577148	93577167	+
chr16	93615929	93615948	-
chr16	93627178	93627197	+
chr16	93652398	93652417	+
chr16	93671507	93671526	+
chr16	93678642	93678661	+
chr16	93686221	93686240	-
chr16	93687395	93687414	-
chr16	93711247	93711266	-
chr16	93747397	93747416	+
chr16	93767367	93767386	+
chr16	93781000	93781019	+
chr16	93784601	93784620	+
chr16	93785430	93785449	+
chr16	93786240	93786259	+
chr16	93825226	93825245	-
chr16	93843583	93843602	-
chr16	93858581	93858600	+
chr16	93879554	93879573	+
chr16	93903463	93903482	-
chr16	93906611	93906630	-
chr16	93915912	93915931	+
chr16	93918772	93918791	-
chr16	93938713	93938732	-
chr16	93943535	93943554	+
chr16	93947817	93947836	-
chr16	93975861	93975880	-
chr16	93977278	93977297	+
chr16	94018388	94018407	+
chr16	94020170	94020189	+
chr16	94038624	94038643	-
chr16	94045416	94045435	0.0181
