chr16	91582000	91583999	8	chr16	91582749	91582768	+
chr16	91584000	91585999	9	chr16	91585552	91585571	-
chr16	91598000	91599999	16	chr16	91599665	91599684	+
chr16	91680000	91681999	57	chr16	91680378	91680397	-
chr16	91694000	91695999	64	chr16	91695125	91695144	-
chr16	91704000	91705999	69	chr16	91705003	91705022	-
chr16	91716000	91717999	75	chr16	91716564	91716583	-
chr16	91724000	91725999	79	chr16	91724685	91724704	-
chr16	91758000	91759999	96	chr16	91758209	91758228	-
chr16	91870000	91871999	152	chr16	91871609	91871628	+
chr16	91884000	91885999	159	chr16	91884612	91884631	-
chr16	91886000	91887999	160	chr16	91886267	91886286	+
chr16	91896000	91897999	165	chr16	91897959	91897978	-
chr16	91918000	91919999	176	chr16	91918233	91918252	+
chr16	91932000	91933999	183	chr16	91932406	91932425	-
chr16	91934000	91935999	184	chr16	91935580	91935599	+
chr16	91936000	91937999	185	chr16	91936167	91936186	+
chr16	91936000	91937999	185	chr16	91936760	91936779	-
chr16	91954000	91955999	194	chr16	91955203	91955222	-
chr16	91960000	91961999	197	chr16	91960971	91960990	+
chr16	91964000	91965999	199	chr16	91965008	91965027	+
chr16	91994000	91995999	214	chr16	91994665	91994684	-
chr16	92064000	92065999	249	chr16	92064854	92064873	+
chr16	92104000	92105999	269	chr16	92104492	92104511	+
chr16	92112000	92113999	273	chr16	92113246	92113265	+
chr16	92136000	92137999	285	chr16	92136726	92136745	+
chr16	92160000	92161999	297	chr16	92160930	92160949	+
chr16	92170000	92171999	302	chr16	92170691	92170710	-
chr16	92286000	92287999	360	chr16	92287035	92287054	+
chr16	92304000	92305999	369	chr16	92305965	92305984	-
chr16	92308000	92309999	371	chr16	92308389	92308408	+
chr16	92314000	92315999	374	chr16	92314663	92314682	-
chr16	92314000	92315999	374	chr16	92315209	92315228	-
chr16	92320000	92321999	377	chr16	92320142	92320161	+
chr16	92336000	92337999	385	chr16	92336988	92337007	+
chr16	92340000	92341999	387	chr16	92341375	92341394	-
chr16	92384000	92385999	409	chr16	92385485	92385504	-
chr16	92394000	92395999	414	chr16	92394175	92394194	-
chr16	92420000	92421999	427	chr16	92421898	92421917	+
chr16	92444000	92445999	439	chr16	92445841	92445860	+
chr16	92452000	92453999	443	chr16	92453047	92453066	-
chr16	92458000	92459999	446	chr16	92458088	92458107	+
chr16	92478000	92479999	456	chr16	92478925	92478944	+
chr16	92486000	92487999	460	chr16	92487984	92488003	+
chr16	92488000	92489999	461	chr16	92487984	92488003	+
chr16	92496000	92497999	465	chr16	92497328	92497347	-
chr16	92512000	92513999	473	chr16	92512162	92512181	-
chr16	92520000	92521999	477	chr16	92520256	92520275	-
chr16	92544000	92545999	489	chr16	92544695	92544714	-
chr16	92566000	92567999	500	chr16	92566114	92566133	-
chr16	92608000	92609999	521	chr16	92608548	92608567	-
chr16	92614000	92615999	524	chr16	92615864	92615883	-
chr16	92698000	92699999	566	chr16	92699058	92699077	-
chr16	92708000	92709999	571	chr16	92709080	92709099	-
chr16	92800000	92801999	617	chr16	92800366	92800385	-
chr16	92800000	92801999	617	chr16	92801870	92801889	-
chr16	92814000	92815999	624	chr16	92814789	92814808	-
chr16	92828000	92829999	631	chr16	92828396	92828415	-
chr16	92868000	92869999	651	chr16	92868334	92868353	-
chr16	92988000	92989999	711	chr16	92988432	92988451	+
chr16	93010000	93011999	722	chr16	93010008	93010027	-
chr16	93010000	93011999	722	chr16	93011914	93011933	-
chr16	93106000	93107999	770	chr16	93106412	93106431	-
chr16	93106000	93107999	770	chr16	93107877	93107896	+
chr16	93136000	93137999	785	chr16	93137670	93137689	+
chr16	93158000	93159999	796	chr16	93158931	93158950	-
chr16	93158000	93159999	796	chr16	93159276	93159295	+
chr16	93292000	93293999	863	chr16	93293453	93293472	+
chr16	93294000	93295999	864	chr16	93294873	93294892	-
chr16	93310000	93311999	872	chr16	93310288	93310307	+
chr16	93410000	93411999	922	chr16	93410760	93410779	+
chr16	93454000	93455999	944	chr16	93454682	93454701	+
chr16	93510000	93511999	972	chr16	93511962	93511981	-
chr16	93532000	93533999	983	chr16	93532380	93532399	-
