plus205	chr16	92620938	92621622	92619938	92622622	92578026	92837737	250	5000
plus172	chr16	92653803	92654684	92652803	92655684	92578026	92837737	250	5000
plus110	chr16	92715514	92716087	92714514	92717087	92578026	92837737	250	5000
plus23	chr16	92801788	92802414	92800788	92803414	92578026	92837737	250	5000
Cbr1	chr16	93607029	93608273	93606029	93609273	92109222	94113839	250	5000
Dopey2	chr16	93711107	93712762	93710107	93713762	92109222	94113839	250	5000
Rcan1	chr16	92466149	92467348	92465149	92468348	92109222	94113839	250	5000
Clic6	chr16	92497541	92499025	92496541	92500025	92109222	94113839	250	5000
plus380	chr16	92444955	92445842	92443955	92446842	92110568	93748652	250	5000
plus314	chr16	92511622	92512993	92510622	92513993	92110568	93748652	250	5000
plus260	chr16	92565147	92565757	92564147	92566757	92110568	93748652	250	5000
minus468	chr16	93293638	93295016	93292638	93296016	92110568	93748652	250	5000
minus629	chr16	93454798	93457838	93453798	93458838	92110568	93748652	250	5000
minus718	chr16	93542965	93544817	93541965	93545817	92110568	93748652	250	5000
Runx1-P2	chr16	92697424	92697869	92696424	92698869	92535494	92902421	250	5000
Runx1-P1	chr16	92825340	92826610	92824340	92827610	92535494	92902421	250	5000
Runx1-P2-wide	chr16	92697424	92697869	92696424	92698869	92475608	93608165	250	5000
Runx1-P1-wide	chr16	92825340	92826610	92824340	92827610	92475608	93608165	250	5000
